interaction_id,n_cliente,date,month,weekday,hour,answered
134338673,fe92248729c44f448481c5780127e6d1,29/09/2020,SETEMBRO,TERCA-FEIRA,09,1
138365441,d235bcd9b61e439f876e1fd161014985,16/11/2020,NOVEMBRO,SEGUNDA-FEIRA,16,1
138790167,58f19d9ca083478c98a715287b2e356c,24/11/2020,NOVEMBRO,TERCA-FEIRA,11,0
130177935,d02b3f88a772486385642416b78714cc,16/07/2020,JULHO,QUINTA-FEIRA,10,0
119408985,342f6adede604e2d87d640288455a86c,06/03/2020,MARCO,SEXTA-FEIRA,11,1
138224711,cd04d412d84943078cca4041b04941c1,13/11/2020,NOVEMBRO,SEXTA-FEIRA,16,1
47737688,3431ced3923c47f48feee79266a113f8,14/10/2020,OUTUBRO,QUARTA-FEIRA,15,1
40979196,1fc2057fc26043e6870d4e791d87ed09,10/02/2020,FEVEREIRO,SEGUNDA-FEIRA,12,1
128305841,e6f9e6378d0646feb5db04eb12623aba,18/06/2020,JUNHO,QUINTA-FEIRA,15,0
140014769,ae2d59785f1e4591b127bb37f257e6aa,17/12/2020,DEZEMBRO,QUINTA-FEIRA,12,1
122338757,056d32ffaff0404abbf2d11981967360,08/04/2020,ABRIL,QUARTA-FEIRA,23,0
47111900,d3ed306efb4e4bd583eca8fc686c7b63,06/09/2020,SETEMBRO,DOMINGO,15,1
131948909,23723b5ae2b04710a45930c4fcb6458b,18/08/2020,AGOSTO,TERCA-FEIRA,08,1
138780253,595f293a11a848cfbc6eaf0474b5e7d2,24/11/2020,NOVEMBRO,TERCA-FEIRA,10,0
119647551,cd8b1e4377334ed198a37780f49fa2fe,10/03/2020,MARCO,TERCA-FEIRA,19,0
133615893,a1a7fe24bc4141c4babe6d53236dd3a8,16/09/2020,SETEMBRO,QUARTA-FEIRA,13,1
138009647,eab8fbcc286f4561aa6f74301c16572c,10/11/2020,NOVEMBRO,TERCA-FEIRA,13,0
139492665,e6c40aafba4b49cb9fb51ae8b1035501,07/12/2020,DEZEMBRO,SEGUNDA-FEIRA,15,1
140615393,0db8638379a34d5e9b046b9963f81d4f,30/12/2020,DEZEMBRO,QUARTA-FEIRA,15,0
48710990,044b66daadb84aaf837dc5f3799571a4,16/12/2020,DEZEMBRO,QUARTA-FEIRA,13,1
46447042,5ab4976fd0694663b84bef9f5a6f733c,18/07/2020,JULHO,SABADO,22,1
124800589,15155fa725f048b3a4c6b3b10a7aa733,29/04/2020,ABRIL,QUARTA-FEIRA,10,1
119368977,342f6adede604e2d87d640288455a86c,05/03/2020,MARCO,QUINTA-FEIRA,15,1
46440776,5ce095386bc647a7b7c7734bb948ae79,17/07/2020,JULHO,SEXTA-FEIRA,15,1
139621907,9be6f71bd10d453d9961473b9c6b3db8,10/12/2020,DEZEMBRO,QUINTA-FEIRA,09,1
120594341,a8325b2a457148af8c5e3d9f6664b783,24/03/2020,MARCO,TERCA-FEIRA,14,0
137606321,23723b5ae2b04710a45930c4fcb6458b,03/11/2020,NOVEMBRO,TERCA-FEIRA,12,0
132051679,4694534a1101482b927c45d08d44e4b0,19/08/2020,AGOSTO,QUARTA-FEIRA,14,1
137760155,d8e8d6d11315455299baa6c3a5b0da64,05/11/2020,NOVEMBRO,QUINTA-FEIRA,14,0
44067786,107c40186ad0458c974ea02e6681a665,28/04/2020,ABRIL,TERCA-FEIRA,10,1
44467060,776871c9b81b4998aa63a04b0311977a,04/05/2020,MAIO,SEGUNDA-FEIRA,15,1
139899729,e982f0f463944209960332d10e10618e,15/12/2020,DEZEMBRO,TERCA-FEIRA,14,0
127756687,cd8b1e4377334ed198a37780f49fa2fe,08/06/2020,JUNHO,SEGUNDA-FEIRA,13,0
134616455,47024ee1460c489ba96d30515515ad65,02/10/2020,OUTUBRO,SEXTA-FEIRA,14,1
139263787,a266511de5134e78821570b76c1969a6,02/12/2020,DEZEMBRO,QUARTA-FEIRA,17,1
139207673,cb284f17b2394444a92357e0742fa42c,02/12/2020,DEZEMBRO,QUARTA-FEIRA,11,1
131952979,4d37973b9cc44d4cace26e4a73ccca73,18/08/2020,AGOSTO,TERCA-FEIRA,08,1
138884759,93d41d2c7e8a4f3b9a71cd9254b05f4f,25/11/2020,NOVEMBRO,QUARTA-FEIRA,16,0
47652786,044b66daadb84aaf837dc5f3799571a4,08/10/2020,OUTUBRO,QUINTA-FEIRA,12,1
138026741,1dd87509471740cfa16008cfbf9af707,10/11/2020,NOVEMBRO,TERCA-FEIRA,16,0
